price,no_of_bedrooms,no_of_bathrooms,sqft_living,sqft_lot,no_of_floors,zipcode,house_age
1350000.0,3,2.5,2753,65005,1.0,98070,71
228000.0,3,1.0,1190,9199,1.0,98148,69
345000.0,5,2.5,3150,9134,1.0,98056,58
600000.0,3,1.75,1410,4080,1.0,98117,74
585000.0,2,1.75,1980,8550,1.0,98117,43
920000.0,5,2.25,2730,6000,1.5,98105,97
885000.0,4,2.5,2830,5000,2.0,98105,29
292500.0,4,2.5,2250,4495,2.0,98042,16
301000.0,3,2.5,2420,4750,2.0,98042,21
951000.0,5,3.25,3250,14342,2.0,98008,56
430000.0,4,3.0,1850,9976,2.0,98059,33
650000.0,3,2.25,2150,21235,1.0,98166,65
289000.0,3,1.75,1260,8400,1.0,98148,70
505000.0,3,1.75,2519,8690,2.0,98166,51
549000.0,3,1.75,1540,1044,3.0,98115,10
425000.0,3,2.25,1660,6000,1.0,98122,45
317625.0,3,2.75,2770,3809,1.5,98144,99
975000.0,4,2.5,2720,11049,2.0,98004,35
287000.0,4,2.5,2240,4648,2.0,98001,19
204000.0,3,1.0,1000,12070,1.0,98042,56
1330000.0,5,2.25,3200,20158,1.0,98004,59
1040000.0,5,3.25,4770,50094,1.0,98005,51
325000.0,3,2.0,1260,5612,1.0,98034,52
571000.0,4,2.0,2750,7807,1.5,98125,108
360000.0,4,2.5,2380,5000,2.0,98038,19
349000.0,3,1.75,1790,50529,1.0,98042,59
832500.0,4,4.0,3430,35102,2.0,98075,38
380000.0,4,1.75,1760,7300,1.0,98008,68
480000.0,3,1.0,1040,5060,1.0,98116,83
410000.0,3,1.0,1410,5060,1.0,98133,68
720000.0,4,2.5,3450,39683,2.0,98010,22
390000.0,3,2.5,2350,5100,2.0,98038,21
360000.0,4,2.5,1900,5889,2.0,98038,32
355000.0,2,1.0,2020,6720,1.0,98118,76
356000.0,3,1.5,1680,8712,1.0,98059,60
315000.0,3,1.0,960,6634,1.0,98125,72
940000.0,3,1.5,2140,3600,2.0,98119,99
305000.0,5,2.25,2660,8400,1.5,98092,63
461000.0,3,3.25,2770,6278,2.0,98056,18
215000.0,2,2.25,1610,2040,2.0,98056,45
335000.0,2,1.75,1030,1066,2.0,98136,18
243500.0,4,2.5,1980,7403,2.0,98023,36
1100000.0,5,2.75,3520,6353,2.0,98199,23
153000.0,3,1.0,1200,10500,1.0,98023,62
430000.0,3,1.5,1580,5000,1.0,98117,85
700000.0,3,1.5,1580,5000,1.0,98117,85
905000.0,4,2.5,3300,10250,1.0,98040,78
247500.0,3,1.75,1960,15681,1.0,98032,57
199000.0,4,1.5,1160,6400,1.0,98023,49
314000.0,3,1.75,1810,41800,1.0,98038,44
437500.0,3,2.5,2320,36847,2.0,98045,32
850830.0,3,2.5,2070,13241,1.5,98102,114
555000.0,3,2.0,1980,3478,1.5,98117,95
699950.0,3,2.25,2190,107593,2.0,98077,41
1090000.0,3,2.5,2920,8113,2.0,98004,74
290000.0,3,1.0,1210,33919,1.0,98058,70
375000.0,3,2.5,2340,10005,1.0,98058,46
460000.0,3,1.0,1670,4005,1.5,98117,85
188500.0,2,1.75,1240,2493,1.0,98198,39
680000.0,4,2.5,3140,28037,2.0,98077,33
470000.0,5,1.75,2030,12342,2.0,98052,82
597750.0,4,2.5,2310,9624,2.0,98027,40
570000.0,3,1.75,1260,3328,1.0,98103,119
272500.0,3,1.75,1540,12600,1.0,98038,44
329950.0,3,1.75,2080,5969,1.0,98108,53
480000.0,4,2.5,3230,16171,2.0,98001,23
740500.0,3,3.5,4380,6350,2.0,98117,124
518500.0,3,3.5,1590,1102,3.0,98103,14
205425.0,2,1.0,880,6780,1.0,98178,79
171800.0,4,2.0,1570,9600,1.0,98168,74
535000.0,4,1.0,1610,2982,1.5,98144,99
660000.0,3,2.5,2400,6474,1.0,98177,60
391500.0,3,2.0,1450,9132,1.0,98034,37
395000.0,2,1.0,770,6000,1.0,98117,71
445000.0,4,1.75,2100,4400,1.5,98118,100
770000.0,3,2.25,2910,10204,2.0,98052,34
1450000.0,4,2.75,2750,17789,1.5,98004,110
445000.0,3,2.25,2100,8201,1.0,98178,57
260000.0,4,2.25,2160,8811,1.0,98023,46
822500.0,5,3.5,2320,4960,2.0,98103,98
430000.0,4,2.5,2070,4310,2.0,98065,20
212000.0,3,1.75,1060,7875,1.0,98092,38
660500.0,4,2.25,2010,9603,1.0,98027,38
784000.0,3,3.5,3950,111078,1.5,98052,35
453246.0,3,2.5,2010,2287,2.0,98029,10
675000.0,4,3.5,2140,2278,3.0,98107,19
199000.0,3,1.75,1320,17390,1.0,98003,68
220000.0,4,1.75,2020,7840,1.0,98003,56
452000.0,4,2.25,2590,10002,1.0,98028,56
382500.0,2,1.0,1190,4440,1.0,98125,43
519950.0,3,2.25,1170,1249,3.0,98107,10
665000.0,2,1.0,1110,3200,1.0,98119,99
527700.0,5,2.5,2820,9375,1.0,98006,56
205000.0,3,1.0,1610,8579,1.0,98058,62
420000.0,3,1.0,1060,8097,1.0,98133,101
500000.0,4,2.25,2030,8517,1.0,98006,63
921500.0,4,2.5,3670,315374,2.0,98077,30
890000.0,4,1.0,2550,4000,2.0,98109,119
430000.0,2,2.5,2420,60984,2.0,98027,17
258000.0,5,2.0,2260,12500,1.0,98032,64
511000.0,3,1.0,1430,3455,1.0,98103,77
532170.0,3,2.0,1360,3090,2.0,98103,34
560000.0,3,1.0,1110,5000,1.5,98107,77
282950.0,3,1.0,1250,8200,1.0,98003,70
2250000.0,4,3.25,5180,19850,2.0,98006,18
350000.0,1,1.0,700,5100,1.0,98115,82
215000.0,3,1.0,1180,7669,1.0,98058,57
650000.0,5,3.5,3960,25245,2.0,98056,28
320000.0,4,2.75,2640,7500,1.0,98023,57
247000.0,3,2.0,1270,7198,1.5,98022,108
320000.0,4,1.75,1760,11180,1.0,98059,56
255000.0,5,2.25,2060,8632,1.0,98146,62
438000.0,3,1.75,1780,9660,1.0,98034,62
900000.0,3,2.5,3400,16603,2.0,98075,24
441000.0,3,2.75,1910,7280,1.0,98034,45
420000.0,3,2.0,2020,38332,1.0,98027,49
370000.0,3,1.75,1580,7000,1.0,98034,48
269950.0,2,1.75,1340,7250,1.0,98198,75
807100.0,4,2.5,2680,4499,2.0,98006,25
653000.0,3,2.5,2680,9750,1.0,98034,45
371500.0,3,2.0,1370,8336,1.0,98133,60
284000.0,3,1.75,1560,21000,1.0,98166,70
272000.0,3,1.75,2160,7140,1.0,98023,46
313000.0,3,1.5,1340,7912,1.5,98133,69
917500.0,4,2.5,3880,35003,2.0,98033,40
673000.0,4,2.25,2590,8190,2.0,98006,44
425000.0,3,2.5,1120,1100,2.0,98122,16
399950.0,5,2.75,1970,5400,1.0,98144,38
385000.0,3,1.0,1220,4800,1.0,98122,123
269950.0,3,1.5,1950,7560,1.0,98022,49
330000.0,2,1.0,1350,8220,1.0,98177,75
260000.0,3,2.5,1670,5797,2.0,98030,36
470000.0,4,3.0,2380,5125,1.5,98126,99
589000.0,4,3.0,2440,9600,2.0,98034,63
163500.0,2,1.5,1050,3419,2.0,98038,28
835000.0,4,2.75,3130,13412,2.0,98052,31
1100000.0,5,3.0,4090,12850,1.0,98033,38
269000.0,4,1.75,1490,10000,1.0,98023,55
560000.0,3,2.5,1900,8744,2.0,98074,37
615000.0,4,1.0,1330,2400,1.5,98103,123
585188.0,3,2.25,2230,10026,1.0,98052,49
305000.0,3,1.75,1650,9480,1.0,98034,47
166950.0,3,1.0,1190,8820,1.0,98058,65
799000.0,3,2.5,2140,9897,1.0,98040,65
400000.0,3,2.5,2180,7508,1.0,98133,62
230000.0,3,1.0,1060,10228,1.0,98155,76
256883.0,3,2.5,1690,5025,2.0,98023,21
423000.0,4,2.0,1970,6480,1.5,98108,104
465000.0,3,2.5,2150,4084,2.0,98126,17
440000.0,3,2.5,1910,66211,2.0,98024,27
385000.0,3,1.75,1350,155073,1.0,98038,55
210000.0,3,1.0,860,11725,1.0,98056,81
297000.0,3,2.5,1940,14952,2.0,98042,30
470000.0,3,1.0,1010,5000,1.0,98107,72
226500.0,3,1.5,1300,7370,1.0,98023,48
274250.0,3,1.0,910,8450,1.0,98059,62
840000.0,4,1.75,2480,11010,1.0,98040,58
677900.0,3,2.5,2440,4587,2.0,98052,14
425000.0,3,1.0,1010,5864,1.0,98116,109
180250.0,2,0.75,900,9600,1.0,98166,83
464000.0,6,3.0,2300,3404,2.0,98133,104
320000.0,4,2.25,1550,7579,2.0,98038,31
625504.0,3,2.25,1270,1566,2.0,98105,10
592500.0,4,2.5,2240,12032,1.0,98074,41
465000.0,3,2.5,2714,17936,2.0,98001,19
477000.0,4,2.75,1720,6270,2.0,98118,46
280000.0,2,1.0,850,16400,1.0,98168,101
1510000.0,5,3.0,3300,33474,1.0,98040,67
445838.0,3,2.5,2250,5692,2.0,98146,24
1070000.0,2,2.25,3900,14864,1.0,98144,77
467000.0,2,1.5,1320,10800,1.0,98177,77
686000.0,4,2.5,2760,6440,2.0,98075,25
279950.0,3,2.0,1750,9750,1.0,98198,63
527000.0,4,2.25,2330,19436,2.0,98011,37
325000.0,3,2.25,2220,16020,1.0,98030,58
328000.0,3,2.25,2020,8379,2.0,98038,30
390000.0,3,2.25,1250,7500,1.0,98146,82
479950.0,2,2.0,1510,6516,1.0,98053,19
264950.0,4,2.25,1720,9753,1.0,98023,46
235000.0,3,1.0,1430,15246,1.0,98031,63
516500.0,3,2.5,1480,4729,2.0,98053,20
655000.0,2,1.75,1450,15798,2.0,98166,109
500000.0,4,2.75,2280,15347,1.0,98059,64
315000.0,6,2.75,2940,7350,1.0,98023,46
213000.0,2,1.0,1000,10200,1.0,98024,63
475000.0,3,1.5,2480,5280,1.5,98108,77
1030000.0,5,4.0,3760,28040,2.0,98033,41
416000.0,3,2.0,2220,94300,1.0,98010,48
410000.0,4,1.0,1970,4740,1.5,98122,120
800000.0,3,3.5,3830,221284,2.0,98077,31
472000.0,6,2.5,4410,14034,1.0,98003,59
225000.0,3,1.75,1430,8505,1.0,98003,56
210000.0,2,1.0,830,6000,1.0,98126,84
455000.0,2,1.0,1430,5000,1.5,98115,99
225000.0,3,1.0,1300,8316,1.0,98002,70
480000.0,2,1.0,1030,3060,1.0,98103,106
363000.0,3,2.5,2740,11872,2.0,98023,34
2400000.0,4,2.5,3650,8354,1.0,98074,24
181000.0,2,1.5,720,5120,1.0,98106,70
250000.0,4,2.0,2010,7312,1.0,98002,48
481000.0,3,1.75,1560,3000,1.0,98103,106
260000.0,3,2.0,1810,7209,1.0,98032,46
455000.0,4,2.5,3360,7685,2.0,98058,23
415000.0,3,2.25,1510,36224,2.0,98045,33
349500.0,3,1.0,1400,3538,1.0,98118,71
245000.0,3,2.5,1730,7442,2.0,98030,37
592500.0,2,2.0,1420,9191,1.5,98115,96
385000.0,4,1.75,2360,7620,1.0,98106,69
315000.0,3,1.75,1580,11455,1.0,98059,50
255000.0,3,1.0,1230,10170,1.0,98045,45
693000.0,4,2.5,2460,4425,2.0,98052,18
780000.0,3,1.0,1660,4400,1.5,98112,113
237000.0,3,1.75,1270,8470,1.0,98198,64
525000.0,3,2.25,2100,40510,2.0,98074,45
425000.0,2,1.0,770,5040,1.0,98144,94
369900.0,1,0.75,760,10079,1.0,98070,88
290000.0,4,2.5,1700,7280,2.0,98031,36
285000.0,3,1.0,1120,10701,1.0,98106,70
415000.0,2,1.0,1070,4500,1.0,98115,87
272500.0,3,2.5,2070,9900,1.0,98023,45
2900000.0,4,3.25,5050,20100,1.5,98004,42
1370000.0,4,4.75,5310,57346,2.0,98077,35
436000.0,2,1.0,1040,7538,1.0,98133,85
210000.0,3,1.0,1700,11390,1.0,98003,57
236000.0,3,1.0,1300,5898,1.0,98178,63
331000.0,3,1.75,1080,1306,1.0,98199,70
365000.0,3,2.5,2653,4510,2.0,98031,18
450000.0,3,2.0,2290,16258,1.0,98058,64
770000.0,4,2.75,3820,26300,2.0,98028,10
455000.0,4,2.5,2210,49375,1.0,98038,27
405000.0,3,1.75,2390,6000,1.0,98118,116
304900.0,4,1.75,2600,11325,1.0,98031,55
170000.0,2,1.0,860,5265,1.0,98178,93
2050000.0,5,3.0,3830,8480,2.0,98122,119
780000.0,4,2.5,3500,7048,2.0,98053,19
330000.0,3,3.0,2420,13959,1.0,98028,36
370000.0,4,2.5,2720,8666,2.0,98030,32
467000.0,5,2.25,2500,13500,1.0,98072,45
405000.0,3,1.75,1670,6720,1.0,98034,44
675000.0,5,2.25,2900,10300,1.0,98006,39
500000.0,2,1.0,1640,14100,1.0,98006,70
389999.0,4,2.5,1890,15770,2.0,98166,56
630000.0,4,1.75,2950,9025,1.0,98034,49
360000.0,4,2.5,2160,9528,2.0,98001,32
580000.0,4,3.0,3280,11060,2.0,98056,38
550000.0,3,2.0,1970,4166,2.0,98126,95
879000.0,4,2.5,3360,22111,2.0,98075,30
265000.0,3,2.0,1320,8959,1.0,98042,31
446500.0,3,2.5,2650,7286,2.0,98059,34
404000.0,3,1.5,2030,8880,1.0,98108,61
267500.0,3,1.75,1590,11914,1.0,98188,67
3080000.0,4,5.0,4550,18641,1.0,98074,22
335000.0,3,2.5,2440,7632,2.0,98003,26
576000.0,3,2.5,1940,9000,1.0,98117,76
208633.0,3,2.5,2040,3810,2.0,98038,18
315000.0,3,2.25,2200,8750,1.0,98166,60
725000.0,3,1.75,1920,3300,1.0,98112,111
550000.0,4,2.75,1800,7750,1.0,98177,59
610750.0,4,2.25,2180,7297,2.0,98074,40
550700.0,2,1.0,1010,5000,1.5,98105,116
665000.0,4,2.75,3320,10574,2.0,98056,64
834000.0,4,2.5,2370,4000,1.5,98144,96
201000.0,5,1.75,1660,78408,1.5,98065,109
2380000.0,5,2.5,3650,9050,2.0,98119,103
1380000.0,4,3.25,4290,12103,1.0,98006,27
1400000.0,4,3.25,4290,12103,1.0,98006,27
305000.0,4,2.25,1950,7700,1.0,98058,45
487000.0,3,2.0,2590,14052,1.0,98133,76
390000.0,3,2.5,1930,64904,1.0,98042,36
548000.0,2,1.0,1470,3864,1.0,98103,108
268750.0,4,1.0,800,8775,1.0,98166,81
819900.0,5,2.75,3150,7119,2.0,98052,11
520000.0,3,2.25,2030,16200,2.0,98027,40
230000.0,3,2.0,1450,11204,1.0,98001,21
240000.0,3,1.75,1510,10248,1.0,98023,55
232000.0,2,1.0,1240,12092,1.0,98146,102
240500.0,2,1.0,1240,12092,1.0,98146,102
274975.0,3,2.5,3030,45004,2.0,98077,37
740000.0,4,2.0,2050,4400,1.5,98102,102
186375.0,3,1.0,1000,7636,1.0,98166,72
790000.0,3,2.25,2370,10289,1.0,98005,47
880000.0,4,3.5,2800,6750,2.0,98105,73
279000.0,6,1.75,2240,11180,2.0,98198,69
295000.0,3,2.0,1810,10530,1.0,98022,33
640000.0,2,1.0,1070,5000,1.0,98103,100
940000.0,4,2.0,2490,9525,2.0,98040,56
260000.0,4,2.5,1960,5238,2.0,98038,21
559900.0,3,2.75,2930,5569,1.0,98072,20
791500.0,4,2.0,1510,3500,1.5,98103,113
265000.0,3,1.75,1420,8250,1.0,98133,70
245000.0,3,1.75,1740,11547,1.0,98178,70
485000.0,4,1.75,2560,43995,2.0,98052,62
684000.0,4,3.5,3040,8414,2.0,98059,14
425000.0,3,1.75,2500,6840,1.0,98125,67
309600.0,4,1.75,1275,20000,1.0,98070,33
552250.0,4,2.5,2580,5823,2.0,98065,22
165000.0,4,1.0,1000,7134,1.0,98178,81
239900.0,4,1.0,1000,7134,1.0,98178,81
320000.0,2,1.0,1070,32633,1.0,98059,94
206600.0,3,2.0,1390,13464,1.0,98030,37
387000.0,4,1.75,2500,7690,1.0,98155,51
299000.0,1,0.75,560,12120,1.0,98014,57
855000.0,4,2.75,2270,10460,2.0,98040,59
315000.0,3,1.0,1900,14400,1.0,98166,70
437500.0,2,1.0,990,3120,1.0,98103,117
252000.0,4,1.5,1550,19800,1.0,98001,55
375000.0,4,1.75,2200,7475,1.0,98118,69
300000.0,4,2.5,1910,4862,2.0,98038,19
420000.0,4,1.0,1750,9600,1.5,98006,70
900000.0,3,1.0,1330,77972,1.0,98033,96
679900.0,3,2.5,2440,5750,2.0,98116,24
463000.0,3,2.5,1640,29970,2.0,98053,32
380000.0,5,2.5,2760,11340,2.0,98059,46
329500.0,4,2.5,1820,7912,2.0,98038,30
604950.0,3,2.5,2110,5608,1.0,98033,11
795000.0,5,2.5,3040,9570,1.0,98006,58
465000.0,3,2.0,1840,40438,2.0,98045,30
673000.0,4,2.5,2990,10400,2.0,98166,22
810000.0,4,2.5,3520,15420,2.0,98074,33
785000.0,4,2.75,2440,69415,1.0,98075,35
338000.0,4,3.0,2090,7500,1.0,98056,38
280000.0,3,2.25,1430,7222,2.0,98056,31
315000.0,4,2.25,2180,10754,1.0,98133,70
530000.0,4,2.25,2180,10754,1.0,98133,70
380000.0,5,3.0,3450,9914,2.0,98023,20
297000.0,3,2.25,1450,7562,2.0,98056,30
730000.0,4,2.5,3230,7331,2.0,98075,20
450000.0,3,1.75,1640,13500,1.0,98125,84
275000.0,3,3.0,1590,7750,1.0,98038,27
595000.0,4,2.0,2020,2849,2.0,98115,64
435000.0,3,1.5,1300,3348,1.5,98144,120
270000.0,2,1.5,1380,209959,1.0,98011,70
950000.0,3,3.0,4040,14338,2.0,98077,38
389000.0,4,2.25,2130,5337,2.0,98019,23
560000.0,4,2.25,2550,7800,1.0,98052,56
1350000.0,5,3.5,4800,14984,2.0,98006,26
799000.0,4,2.25,2510,11585,2.0,98040,55
365500.0,3,2.0,1410,9600,1.0,98072,41
252350.0,3,2.0,1650,7352,1.0,98058,45
403950.0,4,2.5,2120,13780,2.0,98146,31
385000.0,4,1.5,2040,10726,1.0,98177,70
345000.0,4,1.0,1550,7620,1.5,98106,67
490000.0,3,2.75,1980,3128,2.0,98008,45
330000.0,3,2.5,1600,26977,2.0,98019,19
927000.0,4,2.75,3300,12090,2.0,98004,71
1120000.0,4,2.5,3840,16619,2.0,98040,41
330000.0,2,1.0,1220,10000,1.0,98028,74
530000.0,5,2.25,2720,8800,1.0,98008,66
365000.0,4,2.0,1940,25600,1.0,98006,62
378750.0,3,2.5,2160,3000,1.5,98118,115
269900.0,4,1.75,1530,8750,1.5,98058,56
557000.0,3,3.5,1710,2096,2.0,98122,16
360000.0,4,1.75,3730,16980,1.0,98022,50
352000.0,2,1.0,940,5000,1.0,98117,87
437000.0,3,2.5,1750,22357,2.0,98045,30
322500.0,4,2.5,1820,6753,2.0,98038,30
650000.0,3,3.25,1510,2000,2.0,98116,23
450000.0,3,2.0,1290,1213,3.0,98103,23
278500.0,3,2.0,1570,5250,1.0,98092,26
364950.0,4,2.5,1930,6957,2.0,98055,29
840000.0,4,3.5,2840,40139,1.0,98038,38
268000.0,3,2.5,1550,8134,2.0,98031,33
517534.0,2,1.0,833,143947,1.0,98070,18
632925.0,3,2.5,2990,32239,2.0,98077,46
577500.0,3,2.5,2000,7251,2.0,98034,29
339000.0,4,1.5,2390,7480,1.5,98178,104
570000.0,3,1.75,2910,37461,1.0,98052,57
563500.0,4,1.75,2085,174240,1.0,98024,60
423000.0,4,2.25,2200,9351,1.0,98133,62
355000.0,3,2.25,1860,5028,2.0,98019,12
1550000.0,5,4.25,6070,171626,2.0,98024,25
482000.0,2,1.0,950,3960,1.0,98103,83
625000.0,3,1.75,1600,9135,1.0,98006,69
538000.0,3,2.5,2250,11632,2.0,98056,36
380000.0,3,2.5,2280,10255,2.0,98058,39
375000.0,2,1.0,940,5120,1.0,98122,115
245000.0,3,2.5,1530,8500,1.0,98038,28
310000.0,5,1.75,2190,27260,1.0,98166,77
1300000.0,3,2.0,2350,15021,1.0,98004,48
397000.0,4,2.0,1440,7680,1.0,98034,53
365000.0,3,2.5,2200,4052,2.0,98058,19
328500.0,4,3.0,2290,8250,2.0,98042,34
988000.0,4,3.0,4040,19700,2.0,98052,37
1000000.0,4,2.5,2610,3277,1.5,98103,102
237000.0,3,2.5,1490,2138,2.0,98055,19
525000.0,4,2.5,2450,5280,2.0,98011,21
749000.0,4,2.5,1710,9627,1.0,98006,48
722500.0,5,2.5,4870,11800,2.0,98074,41
843000.0,3,2.5,3130,8750,2.0,98052,33
438000.0,2,2.0,1270,1372,3.0,98115,24
578000.0,3,1.75,2120,10875,1.0,98146,47
227950.0,3,1.5,1670,8230,1.0,98001,70
196000.0,3,2.25,2070,11576,2.0,98001,50
641000.0,2,1.0,1420,5332,1.0,98105,71
350000.0,3,1.5,1250,219978,1.0,98038,44
205000.0,3,1.0,940,7980,1.0,98032,64
400000.0,3,1.75,1920,9102,1.0,98072,56
1030000.0,3,2.5,3545,9816,1.0,98027,19
505000.0,3,2.0,1260,5460,1.0,98034,52
475000.0,5,2.5,2340,7200,1.0,98034,49
520000.0,3,2.25,2590,9263,1.0,98028,47
1450000.0,3,4.5,3970,24920,2.0,98034,47
333500.0,3,1.75,1220,9732,1.0,98011,59
232000.0,3,1.0,1400,10403,1.0,98038,48
691100.0,3,2.75,2360,16117,1.0,98006,41
811000.0,3,1.75,1870,9897,1.0,98040,64
551000.0,3,2.5,2830,5802,2.0,98028,23
496500.0,3,2.5,2260,3640,2.0,98072,30
705000.0,3,3.0,1970,20978,2.0,98070,44
578000.0,4,2.5,3140,9225,1.0,98055,58
255000.0,3,1.75,1240,8659,1.0,98042,38
1050000.0,4,3.5,3450,7832,2.0,98006,17
348000.0,3,2.25,2570,8491,2.0,98042,35
230000.0,3,2.0,1510,3413,2.0,98031,39
359500.0,4,2.25,2390,11250,2.0,98023,36
330000.0,3,1.0,980,7000,1.0,98133,71
80000.0,1,0.75,430,5050,1.0,98014,112
465000.0,3,1.75,1480,6360,1.0,98133,70
325000.0,4,2.5,1850,7324,2.0,98042,27
340500.0,3,2.0,2270,28025,1.0,98168,77
342500.0,3,2.5,1810,5192,2.0,98038,31
290900.0,2,2.0,1610,17600,2.0,98178,94
868700.0,3,4.25,3840,6161,2.0,98074,24
1200000.0,4,2.75,4110,8400,2.0,98125,96
1150000.0,4,3.25,4190,10259,2.0,98074,24
859900.0,4,2.75,3390,6298,2.0,98074,13
520000.0,4,2.25,1890,3006,2.0,98029,21
460000.0,3,2.5,1610,2527,2.0,98118,19
438924.0,3,1.5,1050,4590,1.0,98115,75
315000.0,2,1.0,630,6550,1.0,98126,106
590000.0,4,2.75,2910,10650,1.0,98033,49
378500.0,4,1.75,1700,8640,1.0,98006,69
328500.0,3,2.5,1950,8130,2.0,98042,34
849950.0,3,3.0,2990,9773,2.0,98005,51
525000.0,3,1.5,1350,6000,1.0,98136,74
1390000.0,4,3.25,4860,181319,2.5,98074,31
295000.0,4,2.5,2160,7725,1.0,98023,46
1070000.0,6,3.5,4860,11793,2.0,98006,26
207950.0,2,2.0,890,5000,1.0,98118,107
699900.0,4,2.75,2810,7302,2.0,98075,22
1280000.0,5,2.5,3400,9500,2.0,98027,47
452000.0,4,1.5,1580,7350,1.0,98052,61
370000.0,3,2.0,1680,5036,1.0,98055,37
232000.0,3,1.75,1300,11230,1.0,98042,56
669950.0,5,2.5,2820,14062,2.0,98034,64
397500.0,3,2.0,1510,6710,1.0,98034,52
490000.0,2,2.5,1230,1391,2.0,98112,20
725000.0,4,2.0,2110,4140,2.0,98116,99
299000.0,3,2.75,3080,19635,1.0,98032,66
625000.0,2,1.5,1490,5750,1.5,98116,124
437500.0,3,2.5,2120,4500,2.0,98065,24
650000.0,4,2.5,3180,5438,2.0,98065,21
475000.0,2,1.0,1490,3825,1.0,98117,95
342000.0,3,2.0,1930,11947,1.0,98042,58
1200000.0,4,2.5,2770,7800,2.0,98033,25
280000.0,3,1.5,1670,11610,1.0,98055,61
240000.0,2,1.75,1330,7200,1.0,98188,31
529000.0,3,1.0,1210,3328,1.5,98107,100
442000.0,3,1.0,1190,5100,1.0,98136,83
615000.0,2,1.0,1540,6872,1.0,98119,78
1490000.0,4,3.75,4030,10800,2.0,98033,18
585000.0,4,1.75,2430,7559,1.0,98052,43
480000.0,4,2.5,2600,7787,2.0,98059,19
1100000.0,5,3.5,4410,57063,2.0,98053,34
290000.0,4,1.0,1330,8184,1.5,98133,75
615000.0,3,1.75,1900,5000,1.0,98116,73
300000.0,2,1.0,1100,7680,1.0,98133,74
308000.0,3,1.0,1980,39150,1.5,98030,92
750000.0,3,2.5,2400,7745,2.0,98033,23
2250000.0,4,2.25,4760,8036,2.5,98112,108
890000.0,4,3.25,3180,194278,2.0,98059,19
288000.0,3,1.0,1190,7560,1.0,98058,66
190000.0,2,1.0,630,6000,1.0,98178,81
515000.0,5,3.0,2530,5105,1.0,98133,19
235000.0,4,1.5,1690,11054,1.0,98055,94
275000.0,2,1.0,940,5000,1.0,98126,73
727500.0,2,2.0,1240,9119,1.0,98004,72
650000.0,4,2.5,3040,6587,2.0,98053,21
1600000.0,6,5.0,6050,230652,2.0,98024,23
365000.0,4,1.0,1590,7085,1.5,98125,80
662000.0,3,1.75,2500,36947,1.0,98052,40
270500.0,3,2.5,1780,7848,1.0,98038,46
200000.0,2,1.5,1360,1898,2.0,98092,46
970000.0,4,3.25,4740,76230,2.0,98075,37
160000.0,3,1.5,1010,9600,1.0,98198,62
